index,nct_id,category_age
378,NCT00507897,[0-17]
378,NCT00507897,[18-65]
378,NCT00507897,[65 and more]
380,NCT00509483,[18-65]
380,NCT00509483,[65 and more]
386,NCT00519896,[18-65]
386,NCT00519896,[65 and more]
388,NCT00522028,[18-65]
388,NCT00522028,[65 and more]
393,NCT00525135,[18-65]
393,NCT00525135,[65 and more]
394,NCT00527085,[18-65]
394,NCT00527085,[65 and more]
399,NCT00528502,[0-17]
399,NCT00528502,[18-65]
399,NCT00528502,[65 and more]
400,NCT00528788,[18-65]
400,NCT00528788,[65 and more]
403,NCT00531713,[18-65]
403,NCT00531713,[65 and more]
404,NCT00535561,[18-65]
404,NCT00535561,[65 and more]
407,NCT00537797,[18-65]
407,NCT00537797,[65 and more]
408,NCT00537979,[18-65]
408,NCT00537979,[65 and more]
417,NCT00552253,[18-65]
417,NCT00552253,[65 and more]
422,NCT00556530,[0-17]
422,NCT00556530,[18-65]
422,NCT00556530,[65 and more]
424,NCT00559949,[18-65]
424,NCT00559949,[65 and more]
427,NCT00560300,[0-17]
427,NCT00560300,[18-65]
434,NCT00571077,[18-65]
434,NCT00571077,[65 and more]
436,NCT00571090,[0-17]
436,NCT00571090,[18-65]
436,NCT00571090,[65 and more]
440,NCT00576407,[0-17]
440,NCT00576407,[18-65]
440,NCT00576407,[65 and more]
443,NCT00576836,[0-17]
443,NCT00576836,[18-65]
443,NCT00576836,[65 and more]
445,NCT00579527,[0-17]
445,NCT00579527,[18-65]
445,NCT00579527,[65 and more]
447,NCT00579709,[0-17]
447,NCT00579709,[18-65]
447,NCT00579709,[65 and more]
449,NCT00580320,[18-65]
449,NCT00580320,[65 and more]
456,NCT00587158,[18-65]
456,NCT00587158,[65 and more]
458,NCT00588432,[18-65]
458,NCT00588432,[65 and more]
460,NCT00595335,[18-65]
460,NCT00595335,[65 and more]
465,NCT00601328,[18-65]
478,NCT00639405,[18-65]
478,NCT00639405,[65 and more]
480,NCT00646282,[18-65]
480,NCT00646282,[65 and more]
483,NCT00651625,[18-65]
483,NCT00651625,[65 and more]
486,NCT00654238,[18-65]
486,NCT00654238,[65 and more]
489,NCT00664430,[18-65]
489,NCT00664430,[65 and more]
490,NCT00665795,[18-65]
490,NCT00665795,[65 and more]
495,NCT00667576,[18-65]
495,NCT00667576,[65 and more]
501,NCT00674154,[18-65]
501,NCT00674154,[65 and more]
504,NCT00677469,[18-65]
511,NCT00697528,[18-65]
511,NCT00697528,[65 and more]
517,NCT00701805,[18-65]
517,NCT00701805,[65 and more]
522,NCT00729157,[18-65]
522,NCT00729157,[65 and more]
531,NCT00742716,[18-65]
531,NCT00742716,[65 and more]
538,NCT00752401,[18-65]
538,NCT00752401,[65 and more]
542,NCT00754442,[18-65]
