index,nct_id,location,continent,iso
1364,NCT01945762,Belgium,Europe,BEL
1364,NCT01945762,France,Europe,FRA
1364,NCT01945762,Germany,Europe,DEU
1364,NCT01945762,Italy,Europe,ITA
1364,NCT01945762,Luxembourg,,
1364,NCT01945762,Netherlands,Europe,NLD
1364,NCT01945762,Spain,Europe,ESP
1364,NCT01945762,United Kingdom,Europe,GBR
1366,NCT01950260,United States,North America,USA
1373,NCT01969019,China,East Asia,CHN
1379,NCT01985204,Morocco,,
1383,NCT01996072,United States,North America,USA
1385,NCT01999790,Brazil,South America,BRA
1397,NCT02017080,Serbia,Europe,SRB
1400,NCT02024906,United States,North America,USA
1401,NCT02041260,United States,North America,USA
1403,NCT02054572,United States,North America,USA
1405,NCT02055989,United Kingdom,Europe,GBR
1407,NCT02056730,Thailand,Southest Asia,THA
1409,NCT02059655,United Kingdom,Europe,GBR
1413,NCT02061111,Denmark,Europe,DNK
1415,NCT02070211,Holy See (Vatican City State),Europe,VAT
1419,NCT02089542,United Kingdom,Europe,GBR
1422,NCT02090907,"Iran, Islamic Republic of",Middle East,IRN
1424,NCT02102204,Australia,Pacifica,AUS
1424,NCT02102204,Austria,Europe,AUT
1424,NCT02102204,Belgium,Europe,BEL
1424,NCT02102204,Canada,North America,CAN
1424,NCT02102204,Czechia,Europe,CZE
1424,NCT02102204,Denmark,Europe,DNK
1424,NCT02102204,France,Europe,FRA
1424,NCT02102204,Germany,Europe,DEU
1424,NCT02102204,Greece,Europe,GRC
1424,NCT02102204,Hungary,Europe,HUN
1424,NCT02102204,Israel,Middle East,ISR
1424,NCT02102204,Italy,Europe,ITA
1424,NCT02102204,Latvia,Europe,LVA
1424,NCT02102204,Lithuania,Europe,LTU
1424,NCT02102204,Netherlands,Europe,NLD
1424,NCT02102204,New Zealand,Pacifica,NZL
1424,NCT02102204,Poland,Europe,POL
1424,NCT02102204,Portugal,Europe,PRT
1424,NCT02102204,Russian Federation,North Asia,RUS
1424,NCT02102204,Spain,Europe,ESP
1424,NCT02102204,Sweden,Europe,SWE
1424,NCT02102204,Switzerland,Europe,CHE
1424,NCT02102204,Turkey,Middle East,TUR
1424,NCT02102204,United States,North America,USA
1428,NCT02107794,United States,North America,USA
1430,NCT02109250,Belgium,Europe,BEL
1431,NCT02112370,"Korea, Republic of",East Asia,KOR
1436,NCT02114619,"Iran, Islamic Republic of",Middle East,IRN
1442,NCT02126683,Taiwan,East Asia,TWN
1444,NCT02133404,Japan,East Asia,JPN
1448,NCT02138214,United States,North America,USA
1451,NCT02138838,Belgium,Europe,BEL
1451,NCT02138838,Czechia,Europe,CZE
1451,NCT02138838,France,Europe,FRA
1451,NCT02138838,Germany,Europe,DEU
1451,NCT02138838,Greece,Europe,GRC
1451,NCT02138838,Hungary,Europe,HUN
1451,NCT02138838,Italy,Europe,ITA
1451,NCT02138838,Lithuania,Europe,LTU
1451,NCT02138838,New Zealand,Pacifica,NZL
1451,NCT02138838,Poland,Europe,POL
1451,NCT02138838,Portugal,Europe,PRT
1451,NCT02138838,Russian Federation,North Asia,RUS
1451,NCT02138838,Slovakia,Europe,SVK
1451,NCT02138838,Spain,Europe,ESP
1451,NCT02138838,Ukraine,Europe,UKR
1451,NCT02138838,United States,North America,USA
1453,NCT02140476,Brazil,South America,BRA
1453,NCT02140476,Mexico,North America,MEX
1456,NCT02143271,Japan,East Asia,JPN
1458,NCT02143726,United States,North America,USA
1462,NCT02147782,China,East Asia,CHN
1463,NCT02150772,Denmark,Europe,DNK
1469,NCT02152995,United States,North America,USA
1472,NCT02155049,Israel,Middle East,ISR
1477,NCT02169687,France,Europe,FRA
1482,NCT02186405,France,Europe,FRA
1490,NCT02194920,Italy,Europe,ITA
1494,NCT02203682,China,East Asia,CHN
1499,NCT02205801,United States,North America,USA
1508,NCT02210741,Taiwan,East Asia,TWN
1513,NCT02216656,Japan,East Asia,JPN
1519,NCT02227264,Sweden,Europe,SWE
1525,NCT02246504,Bulgaria,Europe,BGR
1527,NCT02258347,Italy,Europe,ITA
1529,NCT02268734,Italy,Europe,ITA
1531,NCT02273570,Italy,Europe,ITA
1535,NCT02274623,United States,North America,USA
1541,NCT02289144,United States,North America,USA
1543,NCT02290704,China,East Asia,CHN
1554,NCT02316691,United States,North America,USA
1558,NCT02316743,Canada,North America,CAN
1565,NCT02319538,Norway,Europe,NOR
1570,NCT02332135,China,East Asia,CHN
1573,NCT02338934,Malaysia,Southest Asia,MYS
1580,NCT02341417,Belgium,Europe,BEL
