,PMID,Population
24519,31678481,adult
24524,31678481,male
24525,31678481,middle aged
24533,30243336,male
24534,30243336,middle aged
24538,30167837,adult
24539,30167837,aged
24541,30167837,female
24544,30167837,male
24545,30167837,middle aged
24552,29613968,adolescent
24553,29613968,adult
24554,29613968,aged
24555,29613968,"aged, 80 and over"
24556,29613968,female
24560,29613968,male
24561,29613968,middle aged
24568,29391576,adult
24569,29391576,aged
24574,29391576,female
24578,29391576,male
24579,29391576,middle aged
24582,31499558,adult
24585,31499558,female
24589,31499558,male
24595,31514214,adult
24598,31514214,female
24609,31564353,female
24613,31564353,male
24614,31564353,middle aged
24620,29849043,adult
24623,29849043,female
24626,29849043,male
24628,29849043,middle aged
24631,29465482,adult
24632,29465482,aged
24633,29465482,"aged, 80 and over"
24637,29465482,female
24640,29465482,male
24641,29465482,middle aged
24645,29465482,young adult
24653,32476690,adult
24657,32476690,female
24660,32476690,male
24662,32476690,middle aged
24664,30223781,adult
24671,30223781,female
24679,30223781,male
24680,30223781,middle aged
24684,31188037,adult
24686,31188037,female
24689,31188037,male
24691,31091281,adolescent
24692,31091281,adult
24696,31091281,child
24697,31091281,"child, preschool"
24698,31091281,female
24707,31091281,male
24717,29627743,adolescent
24718,29627743,adult
24719,29627743,aged
24722,29627743,female
24726,29627743,male
24727,29627743,middle aged
24732,29627743,young adult
24748,30543152,female
24765,30954956,female
24772,30954956,middle aged
24781,30084099,male
24782,30084099,young adult
24783,31831041,adult
24787,31831041,female
24808,30142011,adult
24811,30142011,female
24815,30142011,male
24816,30142011,middle aged
24824,29937157,adult
24825,29937157,aged
24832,29937157,female
24835,29937157,male
24837,29937157,middle aged
24843,31056988,adolescent
24844,31056988,adult
24845,31056988,aged
24849,31056988,female
24855,31056988,male
24856,31056988,middle aged
24865,31056988,young adult
24877,29641730,adult
24878,29641730,aged
24880,29641730,female
24886,29641730,male
24887,29641730,middle aged
24898,30941511,female
24901,30941511,male
24902,30941511,middle aged
24907,30726403,adolescent
24908,30726403,adult
24910,30726403,female
24914,30726403,male
24915,30726403,middle aged
24920,30726403,young adult
24922,30664931,female
24925,30664931,male
24926,30664931,middle aged
24937,29277433,male
24945,29277433,young adult
24962,31365979,adult
24967,31365979,female
24970,31365979,male
24971,31365979,middle aged
24993,29985836,adolescent
24994,29985836,child
24995,29985836,"child, preschool"
24997,29985836,female
25001,29985836,male
25009,29319400,adult
25010,29319400,aged
25013,29319400,female
25016,29319400,male
25017,29319400,middle aged
25023,29166180,adult
25024,29166180,aged
25027,29166180,female
25032,29166180,male
25033,29166180,middle aged
25037,28177666,adolescent
25038,28177666,adult
25039,28177666,aged
25041,28177666,female
25045,28177666,male
25046,28177666,middle aged
25049,28177666,young adult
25061,30535759,adult
25065,30535759,female
25073,30535759,male
25077,30513237,adolescent
25078,30513237,adult
25079,30513237,aged
25080,30513237,"aged, 80 and over"
25084,30513237,female
25087,30513237,male
25088,30513237,middle aged
25094,29688764,female
25098,29688764,middle aged
25110,29190000,male
25111,29190000,middle aged
25114,30937820,adult
25118,30937820,female
25122,30937820,male
25123,30937820,middle aged
25132,31604721,adult
25138,31604721,male
25142,30801749,adult
25143,30801749,aged
25144,30801749,"aged, 80 and over"
25148,30801749,female
25154,30801749,male
25155,30801749,middle aged
25160,30176063,adult
25163,30176063,female
25169,30176063,male
25170,30176063,middle aged
25172,30176063,young adult
25173,29336220,adolescent
25174,29336220,adult
25175,29336220,aged
25178,29336220,female
25181,29336220,male
25182,29336220,middle aged
25184,29336220,young adult
25208,31884304,adult
25211,31884304,female
25216,31884304,male
25217,31884304,middle aged
25230,30092570,adolescent
25231,30092570,female
25241,29465483,"aged, 80 and over"
25243,29465483,female
25247,29465483,male
25252,31685507,female
25265,31338585,adult
25266,31338585,aged
25272,31338585,female
25279,31338585,male
25280,31338585,middle aged
25295,30517711,adult
25299,30517711,female
25304,30517711,male
25305,30517711,middle aged
25313,31462328,female
25317,31462328,male
25318,31462328,middle aged
25333,30825882,adult
25337,30825882,female
25341,30234838,adult
25343,30234838,aged
25344,30234838,"aged, 80 and over"
25347,30234838,female
25351,30234838,male
25352,30234838,middle aged
25359,29742012,adult
25360,29742012,aged
25361,29742012,"aged, 80 and over"
25365,29742012,female
25368,29742012,male
25369,29742012,middle aged
25373,29742012,young adult
25385,31529390,male
25388,31529390,young adult
25402,31852064,adult
25411,31852064,male
25414,31482765,adult
25415,31482765,aged
25417,31482765,female
25423,31482765,male
25424,31482765,middle aged
25466,31057005,adult
25467,31057005,aged
25468,31057005,female
25471,31057005,male
25472,31057005,middle aged
25493,30577302,adult
25495,30577302,female
25504,29992164,adult
25510,29992164,female
25517,29992164,male
25525,28776731,adult
25530,28776731,female
25534,28776731,male
25535,28776731,middle aged
25538,29505466,adult
25539,29505466,aged
25542,29505466,female
25546,29505466,male
25547,29505466,middle aged
25554,29426438,adult
25555,29426438,aged
25556,29426438,"aged, 80 and over"
25558,29426438,female
25564,29426438,male
25566,29426438,middle aged
25570,28944477,aged
25573,28944477,female
25577,28944477,male
25578,28944477,middle aged
25597,31026229,female
25608,31595798,adult
25612,31595798,female
25617,31595798,male
25619,31595798,middle aged
25624,30084681,adolescent
25625,30084681,adult
25626,30084681,aged
25629,30084681,female
25635,30084681,male
25636,30084681,middle aged
25642,30084681,young adult
25643,29784035,adolescent
25644,29784035,adult
25645,29784035,aged
25647,29784035,female
25650,29784035,male
25651,29784035,middle aged
25659,29648895,adult
25664,29648895,female
25671,29648895,male
25672,29648895,middle aged
25677,29648895,young adult
25678,29421653,adult
25682,29421653,female
25689,29421653,male
25690,29421653,middle aged
25694,31083231,adolescent
25695,31083231,adult
25696,31083231,aged
25697,31083231,"aged, 80 and over"
25699,31083231,female
25705,31083231,male
25706,31083231,middle aged
25710,31025590,aged
25712,31025590,female
25721,31025590,male
25722,31025590,middle aged
25725,30653159,adult
25727,30653159,female
25730,30653159,male
25731,30653159,middle aged
25750,30229982,adult
25751,30229982,female
25755,30229982,male
25757,30229982,middle aged
25762,29559498,adult
25764,29559498,female
25777,29448964,female
25780,29448964,middle aged
25793,31327376,adult
25797,31327376,male
25804,30173330,adult
25805,30173330,aged
25806,30173330,female
25810,30173330,male
25811,30173330,middle aged
25821,30466572,adult
25828,30466572,male
25848,29343299,adolescent
25851,29343299,child
25853,29343299,female
25858,29343299,male
25867,30912336,adult
25869,30912336,female
25877,30912336,male
25878,30912336,middle aged
25897,31169822,middle aged
25900,31391354,adolescent
25901,31391354,adult
25902,31391354,aged
25904,31391354,female
25908,31391354,male
25909,31391354,middle aged
25912,31391354,young adult
25923,30081019,adult
25927,30081019,female
25932,30081019,male
25934,30081019,middle aged
25939,29900683,female
25944,31344455,adult
25945,31344455,aged
25946,31344455,"aged, 80 and over"
25947,31344455,female
25951,31344455,male
25952,31344455,middle aged
25958,31344455,young adult
25967,31146635,adult
25972,31146635,female
25979,31146635,male
25980,31146635,middle aged
25995,29923962,adolescent
25996,29923962,adult
25997,29923962,female
26004,29923962,male
26005,29923962,middle aged
26010,29923962,young adult
26012,29562915,child
26015,29562915,female
26021,29562915,male
26025,31636036,adult
26026,31636036,aged
26027,31636036,"aged, 80 and over"
26028,31636036,female
26032,31636036,male
26033,31636036,middle aged
26042,31634179,adult
26043,31634179,female
26048,31634179,male
26049,31634179,middle aged
26059,31634179,young adult
26060,30506346,adolescent
26061,30506346,adult
26062,30506346,aged
26064,30506346,female
26070,30506346,male
26071,30506346,middle aged
26074,30506346,young adult
26075,30235492,adult
26076,30235492,aged
26078,30235492,female
26083,30235492,male
26085,30235492,middle aged
26087,30170970,adult
26088,30170970,aged
26089,30170970,"aged, 80 and over"
26092,30170970,female
26095,30170970,middle aged
26107,31476135,adult
26111,31476135,female
26131,31021263,female
26134,31021263,male
26135,31021263,middle aged
26144,30418399,aged
26146,30418399,female
26150,29367360,adult
26152,29367360,female
26165,31792050,child
26168,31792050,female
26178,31418705,adult
26184,31418705,male
26187,31445960,adult
26190,31445960,female
26195,31445960,young adult
26209,29372940,female
26212,29372940,middle aged
26215,29890310,adolescent
26216,29890310,adult
26217,29890310,aged
26219,29890310,female
26227,29890310,male
26228,29890310,middle aged
26234,29890310,young adult
26235,31833257,adult
26239,31833257,female
26248,31708080,adult
26251,31708080,female
26258,29027055,adolescent
26259,29027055,adult
26261,29027055,child
26266,29027055,female
26270,29027055,male
26277,29027055,young adult
26285,31779758,female
26289,31779758,young adult
26290,31710438,adult
26292,31710438,female
26297,31710438,male
26298,31710438,middle aged
26317,29406005,female
26323,29406005,"infant, newborn"
26332,31742747,adult
26333,31742747,aged
26335,31742747,female
26341,31742747,male
26342,31742747,middle aged
26352,30244229,adult
26357,30244229,female
26363,30670519,adolescent
26365,30670519,child
26385,29187512,adolescent
26386,29187512,adult
26387,29187512,aged
26391,29187512,female
26398,29187512,male
26407,31460819,adult
26408,31460819,aged
26409,31460819,"aged, 80 and over"
26412,31460819,female
26415,31460819,male
26416,31460819,middle aged
26434,29510406,adult
26439,29510406,female
26446,29510406,male
26447,29510406,middle aged
26450,29510406,young adult
26451,29094333,adult
26452,29094333,female
26456,29094333,"infant, newborn"
26457,29094333,male
26465,28598035,adolescent
26466,28598035,adult
26471,28598035,female
26478,28598035,male
26479,28598035,middle aged
26481,28598035,young adult
26482,30337109,adult
26486,30337109,male
26488,30226207,child
26489,30226207,female
26504,31280470,adult
26510,31280470,female
26513,31280470,male
26514,31280470,middle aged
26518,30827829,adult
26519,30827829,aged
26526,30827829,female
26531,30827829,male
26533,30827829,middle aged
26537,30827829,young adult
26538,32051065,adolescent
26539,32051065,adult
26541,32051065,aged
26542,32051065,"aged, 80 and over"
26544,32051065,female
26547,32051065,male
26548,32051065,middle aged
26559,32051065,young adult
26560,31899052,adult
26562,31899052,female
26568,31899052,male
26569,31899052,middle aged
26580,31617239,adult
26584,31617239,female
26588,31617239,male
26590,31617239,middle aged
26593,31390504,adult
26596,31390504,female
26606,29976201,adult
26608,29976201,female
26611,29976201,male
26613,29976201,middle aged
26648,30031873,aged
26649,30031873,female
26652,30031873,male
26653,30031873,middle aged
26658,31042792,female
26665,31042792,male
26666,31042792,middle aged
26674,30383487,adult
26676,30383487,female
26680,30383487,male
26681,30383487,middle aged
26684,30369529,aged
26694,30369529,male
26700,29319130,aged
26705,29319130,female
26715,30193323,adult
26722,30193323,female
26727,30193323,male
26728,30193323,middle aged
26735,29546054,adult
26741,29546054,female
26745,29546054,male
26746,29546054,middle aged
26755,31932147,female
26763,30843111,adolescent
26767,30843111,female
26793,30543354,adult
26799,30543354,male
26807,30498266,adolescent
26808,30498266,adult
26814,30498266,female
26819,30498266,male
26820,30498266,middle aged
26826,29923963,adolescent
26827,29923963,adult
26828,29923963,aged
26829,29923963,child
26833,29923963,female
26837,29923963,male
26838,29923963,middle aged
26847,29923963,young adult
26848,29266775,adult
26849,29266775,aged
26855,29266775,female
26869,31279175,adult
26870,31279175,aged
26873,31279175,female
26879,31279175,male
26880,31279175,middle aged
26883,30880626,adult
26884,30880626,aged
26889,30880626,female
26892,30880626,male
26893,30880626,middle aged
26899,30565709,adult
26902,30565709,female
26907,30565709,male
26908,30565709,middle aged
26911,30057255,adult
26912,30057255,aged
26917,30057255,female
26920,30057255,male
26922,30057255,middle aged
26924,29517388,adult
26925,29517388,aged
26930,29517388,female
26934,29517388,male
26935,29517388,middle aged
26945,29325496,female
26948,29325496,"infant, newborn"
26953,30452877,adult
26956,30452877,female
26961,30452877,male
26962,30452877,middle aged
26964,29174550,adult
26965,29174550,aged
26967,29174550,female
26970,29174550,male
26971,29174550,middle aged
26975,31792849,adult
26976,31792849,female
26981,31792849,male
26991,30846197,female
26995,30846197,middle aged
27000,30624412,female
27007,30624412,male
27010,30624412,middle aged
27032,31068660,adult
27033,31068660,aged
27034,31068660,"aged, 80 and over"
27037,31068660,female
27041,31068660,male
27043,31068660,middle aged
27056,29675428,adult
27060,29675428,female
27064,29675428,male
27077,30846307,female
27081,30846307,middle aged
27083,30187962,adolescent
27087,30187962,male
27100,30358895,adult
27103,30358895,child
27115,29373405,adult
27117,29373405,female
27120,29373405,male
27121,29373405,middle aged
27126,31846201,female
27132,31846201,middle aged
27134,31358139,aged
27138,31358139,female
27141,31358139,male
27142,31358139,middle aged
27154,30854863,male
27155,30854863,middle aged
27172,30488266,adult
27173,30488266,aged
27177,30488266,female
27184,30488266,male
27185,30488266,middle aged
27190,30463536,adult
27191,30463536,aged
27195,30463536,female
27198,30463536,male
27200,30463536,middle aged
27205,30148416,adult
27208,30148416,female
27218,30124604,female
27221,30124604,male
27222,30124604,middle aged
27231,29949121,adult
27232,29949121,aged
27235,29949121,female
27238,29949121,male
27240,29949121,middle aged
27254,29507013,aged
27258,29507013,female
27262,31167702,adult
27263,31167702,aged
27264,31167702,female
27268,31167702,male
27269,31167702,middle aged
27273,30568070,adolescent
27274,30568070,adult
27275,30568070,aged
27276,30568070,"aged, 80 and over"
27277,30568070,child
27278,30568070,female
27281,30568070,male
27282,30568070,middle aged
27286,30568070,young adult
27287,29482520,female
27290,29482520,middle aged
27297,30325581,female
27301,30325581,male
27302,30325581,middle aged
27315,30188609,female
27322,30188609,male
27354,31240859,adult
27355,31240859,aged
27356,31240859,"aged, 80 and over"
27359,31240859,female
27367,31240859,male
27369,31240859,middle aged
27374,31715678,adult
27377,31715678,female
27380,31715678,male
27381,31715678,middle aged
27396,29273424,adult
27398,29273424,female
27405,31994621,adult
27408,31994621,female
27418,29342033,male
27420,29342033,middle aged
27423,28856610,adult
27424,28856610,aged
27425,28856610,female
27431,28856610,male
27432,28856610,middle aged
27453,31343641,female
27457,31343641,middle aged
27459,30007745,adolescent
27460,30007745,adult
27462,30007745,female
27466,30007745,male
27467,30007745,middle aged
27473,30007745,young adult
27474,29571699,adult
27475,29571699,aged
27476,29571699,"aged, 80 and over"
27478,29571699,female
27481,29571699,male
27482,29571699,middle aged
27485,29147850,adult
27488,29147850,female
27491,29147850,middle aged
27504,31782290,adolescent
27508,31782290,child
27510,31782290,female
27514,31782290,male
27523,31705858,female
27548,31415657,female
27553,31415657,male
27558,31316787,adult
27560,31316787,female
27566,31316787,middle aged
27568,30261581,adult
27571,30261581,female
27576,30261581,male
27578,30261581,middle aged
27584,30222206,adolescent
27585,30222206,adult
27586,30222206,aged
27587,30222206,"aged, 80 and over"
27590,30222206,child
27592,30222206,female
27597,30222206,male
27598,30222206,middle aged
27602,30222206,young adult
27606,29457989,child
27608,29457989,female
27621,31296093,adult
27622,31296093,aged
27623,31296093,"aged, 80 and over"
27626,31296093,female
27629,31296093,male
27630,31296093,middle aged
27633,31236779,adult
27635,31236779,female
27638,31236779,male
27639,31236779,middle aged
27643,31162299,adult
27644,31162299,aged
27648,31162299,female
27651,31162299,male
27652,31162299,middle aged
27659,30179522,female
27663,30179522,young adult
27668,29626663,male
27669,29626663,middle aged
27670,29243735,adult
27671,29243735,aged
27674,29243735,female
27677,29243735,male
27678,29243735,middle aged
27693,31176495,aged
27696,31176495,female
27720,29866676,adult
27729,29866676,male
27734,29371709,adolescent
27735,29371709,adult
27739,29371709,child
27743,29371709,middle aged
27747,29371709,young adult
27762,31587179,adult
27763,31587179,aged
27764,31587179,female
27770,31587179,male
27771,31587179,middle aged
27775,31207925,adolescent
27776,31207925,adult
27780,31207925,female
27784,31207925,male
27785,31207925,middle aged
27789,31091045,adult
27792,31091045,female
27796,31091045,middle aged
27803,30618332,female
27830,29847667,adult
27831,29847667,aged
27836,29847667,female
27842,29847667,male
27843,29847667,middle aged
27848,29847667,young adult
27849,29383806,adolescent
27851,29383806,child
27852,29383806,"child, preschool"
27854,29383806,female
27864,29383806,male
27867,30730926,adult
27869,30730926,female
27875,30730926,male
27876,30730926,middle aged
27878,30474825,aged
27880,30474825,female
27886,30326533,female
27889,30326533,male
27890,30326533,middle aged
27897,30160297,adolescent
27898,30160297,adult
27899,30160297,aged
27900,30160297,"aged, 80 and over"
27902,30160297,female
27905,30160297,male
27906,30160297,middle aged
27910,30160297,young adult
27911,29566435,adult
27912,29566435,aged
27914,29566435,female
27918,29566435,male
27919,29566435,middle aged
27922,29566435,young adult
27923,29412482,adult
27924,29412482,female
27929,29412482,male
27938,31612654,adolescent
27939,31612654,adult
27940,31612654,aged
27942,31612654,female
27946,31612654,male
27947,31612654,middle aged
27967,31202168,adult
27970,31202168,female
27976,31202168,male
28007,30086864,adolescent
28009,30086864,child
28010,30086864,"child, preschool"
28012,30086864,female
28016,30086864,infant
28017,30086864,"infant, newborn"
28020,29930211,adult
28023,29930211,female
28046,31446546,adult
28049,31446546,female
28057,31446546,male
28058,31446546,middle aged
28084,31023005,adult
28090,31023005,female
28093,31023005,male
28095,31023005,middle aged
28114,29256262,adult
28118,29256262,female
28123,29256262,male
28124,29256262,middle aged
28127,29557835,adult
28128,29557835,aged
28129,29557835,"aged, 80 and over"
28131,29557835,female
28136,29557835,male
28137,29557835,middle aged
28151,29300515,female
28157,29300515,middle aged
28163,30324287,adult
28164,30324287,female
28170,29670918,adult
28174,29670918,female
28178,29670918,male
28179,29670918,middle aged
28184,29396245,adult
28185,29396245,aged
28189,29396245,female
28193,29396245,male
28194,29396245,middle aged
28197,29396245,young adult
28198,29308951,adolescent
28199,29308951,adult
28200,29308951,aged
28203,29308951,middle aged
28208,31482952,adult
28211,31482952,female
28214,31482952,male
28215,31482952,middle aged
28221,31162982,adult
28225,31162982,female
28228,31162982,male
28229,31162982,middle aged
28232,30012381,adult
28235,30012381,female
28241,29357398,adult
28243,29357398,female
28246,29357398,"infant, newborn"
28251,29517693,adolescent
28252,29517693,adult
28253,29517693,aged
28255,29517693,female
28259,29517693,male
28260,29517693,middle aged
28270,30517642,adult
28271,30517642,aged
28275,30517642,female
28282,30517642,male
28283,30517642,middle aged
28290,30517642,young adult
28294,30730120,female
28300,30730120,male
28301,30730120,middle aged
28306,30481337,adolescent
28310,30481337,child
28312,30481337,female
28356,31740989,adult
28362,31740989,female
28367,31740989,male
28371,29954010,adult
28377,29954010,female
28384,31340298,adult
28389,31340298,male
28394,30913888,adult
28395,30913888,aged
28396,30913888,"child, preschool"
28404,30103255,adult
28405,30103255,aged
28406,30103255,"aged, 80 and over"
28407,30103255,female
28410,30103255,male
28413,30103255,middle aged
28415,29652204,adult
28417,29652204,female
28421,29652204,male
28423,29652204,middle aged
28427,29491282,female
28432,29491282,middle aged
28435,31194638,adult
28437,31194638,female
28443,31194638,male
28444,31194638,middle aged
28450,30575804,adult
28457,30575804,female
28460,30575804,male
28461,30575804,middle aged
28472,30562606,female
28475,30562606,male
28481,29739987,adult
28485,29739987,female
28490,29739987,male
28494,29037117,adult
28497,29037117,female
28500,29037117,male
28501,29037117,middle aged
28510,29037117,young adult
28511,30134386,aged
28512,30134386,female
28516,30134386,male
28517,30134386,middle aged
28535,29397435,adult
28536,29397435,aged
28542,29397435,female
28545,29397435,male
28546,29397435,middle aged
28548,29397435,young adult
28550,30550499,adult
28551,30550499,aged
28553,30550499,female
28556,30550499,male
28557,30550499,middle aged
28560,30550499,young adult
28562,31271712,adult
28563,31271712,female
28571,30882587,adult
28572,30882587,female
28576,30882587,male
28577,30882587,middle aged
28581,30674011,adolescent
28582,30674011,adult
28583,30674011,aged
28590,30674011,female
28595,30674011,male
28596,30674011,middle aged
28600,30674011,young adult
28601,30561390,adolescent
28604,30561390,child
28605,30561390,"child, preschool"
28608,30561390,female
28614,30561390,infant
28615,30561390,male
28618,30269213,adult
28619,30269213,aged
28624,30269213,female
28629,30269213,male
28630,30269213,middle aged
28646,29848886,female
28655,29848886,male
28665,29621332,female
28669,29621332,male
28670,29621332,middle aged
28676,30938833,adult
28677,30938833,aged
28679,30938833,female
28683,30938833,male
28684,30938833,middle aged
28686,30938833,young adult
28687,30755726,adult
28691,30755726,male
28695,30882107,adult
28696,30882107,"aged, 80 and over"
28697,30882107,female
28708,29274673,middle aged
28722,29288834,adolescent
28729,29288834,male
28733,29058517,aged
28736,29058517,female
28740,29058517,middle aged
28744,30777066,adult
28745,30777066,aged
28750,30777066,female
28755,30777066,male
28756,30777066,middle aged
28760,30297028,adult
28763,30297028,female
28766,30297028,male
28768,30297028,middle aged
28773,30232923,female
28781,29875930,adult
28782,29875930,female
28789,29875930,male
28790,29875930,middle aged
28795,29377729,adult
28796,29377729,aged
28799,29377729,female
28803,29377729,male
28804,29377729,middle aged
28807,29377729,young adult
28808,30470210,adult
28809,30470210,aged
28810,30470210,female
28813,30470210,male
28814,30470210,middle aged
28820,31705696,adolescent
28821,31705696,child
28822,31705696,female
28826,31705696,male
28833,31310160,adult
28835,31310160,female
28838,31310160,male
28840,31310160,middle aged
28845,30677812,"child, preschool"
28847,30677812,female
28857,30384566,adult
28858,30384566,aged
28860,30384566,female
28865,30384566,male
28866,30384566,middle aged
28870,30384566,young adult
28882,29478847,adult
28883,29478847,aged
28885,29478847,female
28889,29478847,middle aged
28891,29478847,postmenopause
28894,31690110,adult
28897,31690110,female
28900,31690110,male
28905,31209622,adult
28907,31209622,female
28913,31209622,male
28921,31203506,female
28924,31203506,male
28925,31203506,middle aged
28934,29804628,adult
28937,29804628,female
28942,29804628,male
28946,29430800,adolescent
28947,29430800,adult
28948,29430800,aged
28949,29430800,"aged, 80 and over"
28952,29430800,female
28956,29430800,male
28957,29430800,middle aged
28964,29430800,young adult
28965,28181061,adult
28968,28181061,female
28972,28181061,male
28973,28181061,middle aged
28983,31552761,adult
28984,31552761,aged
28992,31552761,female
29000,31552761,male
29002,31552761,middle aged
29010,31308303,adult
29011,31308303,aged
29013,31308303,female
29021,31308303,male
29022,31308303,middle aged
29038,31111437,adult
29042,31111437,female
29055,29680780,female
29059,29680780,middle aged
29062,29319128,adult
29064,29319128,female
29070,29319128,male
29071,29319128,middle aged
29075,29319128,young adult
29108,28548552,adult
29109,28548552,aged
29114,28548552,female
29119,28548552,male
29120,28548552,middle aged
29124,28548552,young adult
29125,31473202,adult
29126,31473202,aged
29127,31473202,"aged, 80 and over"
29130,31473202,child
29131,31473202,"child, preschool"
29134,31473202,female
29138,31473202,infant
29139,31473202,"infant, newborn"
29141,31473202,male
29144,31473202,middle aged
29150,30956992,adult
29152,30956992,female
29157,30956992,male
29158,30956992,middle aged
29161,31554206,adult
29165,31554206,female
29169,31554206,middle aged
29178,31134819,female
29191,30572448,adult
29192,30572448,aged
29197,30572448,female
29203,30572448,male
29205,30572448,middle aged
29207,29372654,adolescent
29213,29372654,child
29214,29372654,"child, preschool"
29218,29372654,female
29223,29372654,infant
29224,29372654,male
29226,29199443,adult
29230,29199443,female
29238,29336230,adult
29243,29336230,female
29249,29336230,male
29251,29336230,middle aged
29272,31407938,female
29275,31407938,male
29276,31407938,middle aged
29283,31370683,female
29288,31370683,middle aged
29302,30855542,adult
29303,30855542,aged
29305,30855542,female
29311,30855542,male
29312,30855542,middle aged
29314,30855542,young adult
29315,29960265,adult
29316,29960265,aged
29319,29960265,female
29322,29960265,male
29323,29960265,middle aged
29329,29960265,young adult
29333,29420104,male
29334,29420104,middle aged
29339,29189376,female
29342,29189376,middle aged
29348,29098964,female
29352,29098964,middle aged
29355,31505972,adult
29356,31505972,aged
29358,31505972,female
29364,31505972,male
29365,31505972,middle aged
29368,31034694,adult
29371,31034694,female
29375,31034694,male
29376,31034694,middle aged
29381,30270655,adult
29385,30270655,female
29393,29672347,adolescent
29394,29672347,adult
29395,29672347,aged
29396,29672347,female
29401,29672347,male
29402,29672347,middle aged
29405,29672347,young adult
29406,29614339,adult
29408,29614339,female
29413,29614339,male
29419,29463244,adolescent
29420,29463244,adult
29421,29463244,aged
29422,29463244,"aged, 80 and over"
29423,29463244,female
29429,29463244,male
29430,29463244,middle aged
29435,29360077,aged
29436,29360077,female
29446,31727489,female
29449,31727489,male
29451,31727489,middle aged
29453,31545866,adult
29454,31545866,aged
29455,31545866,"aged, 80 and over"
29458,31545866,female
29462,31545866,male
29463,31545866,middle aged
29467,31542789,adult
29472,31542789,male
29476,30646996,adult
29477,30646996,aged
29479,30646996,female
29482,30646996,male
29483,30646996,middle aged
29489,31674156,adult
29490,31674156,aged
29494,31674156,female
29499,31674156,male
29500,31674156,middle aged
29505,30850507,adolescent
29506,30850507,adult
29507,30850507,aged
29508,30850507,"aged, 80 and over"
29513,30850507,middle aged
29540,30204589,male
29541,30204589,middle aged
29546,29982465,adult
29548,29982465,female
29555,29982465,male
29556,29982465,middle aged
29560,31755324,adult
29564,31755324,female
29569,31755324,male
29570,31755324,middle aged
29574,31657648,adult
29575,31657648,aged
29582,31657648,female
29587,31657648,male
29588,31657648,middle aged
29596,31494956,adult
29600,31494956,female
29608,31494956,male
29609,31494956,middle aged
29615,31055979,female
29621,31055979,male
29627,31488432,adult
29628,31488432,aged
29634,31488432,female
29641,31488432,male
29642,31488432,middle aged
29650,29361886,aged
29661,29361886,male
29666,31707189,adult
29673,31707189,female
29678,31707189,male
29679,31707189,middle aged
29686,31027105,female
29692,30560705,adult
29696,30560705,female
29700,30560705,male
29701,30560705,middle aged
29716,29905024,aged
29718,29905024,female
29725,29396246,adolescent
29726,29396246,adult
29727,29396246,aged
29732,29396246,female
29736,29396246,male
29738,29396246,middle aged
29742,29396246,young adult
29743,29053038,adult
29750,29053038,male
29754,29023175,adult
29758,29023175,female
29763,29023175,male
29764,29023175,middle aged
29771,30551199,aged
29780,30551199,female
29785,30551199,male
29787,30551199,middle aged
29798,31366254,adult
29799,31366254,aged
29803,31366254,female
29806,31366254,male
29807,31366254,middle aged
29831,31036428,female
29835,31036428,male
29836,31036428,middle aged
29845,30182361,adult
29847,30182361,female
29851,30182361,male
29852,30182361,middle aged
29855,29987165,female
29863,29987165,male
29867,29373659,adult
29868,29373659,aged
29873,29373659,female
29876,29373659,male
29877,29373659,middle aged
29883,29103088,adolescent
29885,29103088,child
29889,29103088,female
29893,29103088,male
29904,31739945,male
29911,30814476,female
29916,30814476,male
29927,30733969,male
29928,30733969,middle aged
29930,31050781,adult
29935,31050781,female
29939,31050781,male
29940,31050781,middle aged
29944,30340757,adult
29945,30340757,child
29955,30335539,adult
29959,30335539,female
29963,30335539,male
29964,30335539,middle aged
29968,30124607,adult
29969,30124607,aged
29972,30124607,female
29978,30124607,male
29979,30124607,middle aged
29982,30027258,adolescent
29990,30027258,male
29998,29973096,adolescent
29999,29973096,adult
30000,29973096,female
30005,29973096,male
30014,29058307,female
30040,31266487,adolescent
30041,31266487,adult
30044,31266487,child
30045,31266487,"child, preschool"
30047,31266487,female
30060,31266487,male
30071,31327128,female
30075,31327128,male
30076,31327128,middle aged
30085,31267667,female
30091,31267667,male
30098,30538310,adult
30100,30538310,female
30105,30538310,male
30106,30538310,middle aged
30110,31444554,adult
30111,31444554,female
30118,31444554,male
30124,30372544,adult
30144,30197231,male
30145,30197231,middle aged
30152,29879187,female
30158,29879187,male
30162,29329570,adult
30168,29329570,female
30174,29302725,adolescent
30175,29302725,adult
30176,29302725,aged
30177,29302725,"aged, 80 and over"
30178,29302725,child
30179,29302725,"child, preschool"
30180,29302725,female
30185,29302725,male
30186,29302725,middle aged
30192,29302725,young adult
30193,29288501,adolescent
30194,29288501,adult
30197,29288501,female
30201,29288501,male
30202,29288501,middle aged
30207,29288501,young adult
30208,31669312,adult
30210,31669312,female
30215,31669312,male
30229,30528501,adult
30233,30528501,female
30239,30528501,male
30240,30528501,middle aged
30244,29485308,aged
30246,29485308,female
30249,29485308,male
30250,29485308,middle aged
30258,30900216,adult
30264,30900216,female
30267,30900216,male
30268,30900216,middle aged
30282,30291728,adult
30284,30291728,female
30289,30291728,male
30290,30291728,middle aged
30296,29076917,adult
30297,29076917,aged
30298,29076917,"aged, 80 and over"
30300,29076917,female
30308,29076917,male
30309,29076917,middle aged
30317,31580214,child
30318,31580214,"child, preschool"
30319,31580214,female
