,PMID,Population
1457,12184022,female
1461,12184022,male
1462,12184022,middle aged
1470,12879780,female
1476,12879780,middle aged
1493,14673283,female
1496,14673283,middle aged
1505,11936460,adolescent
1507,11936460,child
1510,11936460,female
1514,11936460,"infant, newborn"
1516,11936460,male
1522,12813398,aged
1523,12813398,"aged, 80 and over"
1524,12813398,female
1530,14534011,aged
1532,14534011,female
1543,12296417,child
1549,15641552,adult
1550,15641552,aged
1552,15641552,female
1555,15641552,male
1556,15641552,middle aged
1564,12193875,adolescent
1565,12193875,adult
1566,12193875,female
1571,12193875,male
1572,12193875,middle aged
1577,12140107,adult
1581,12140107,female
1585,12140107,male
1586,12140107,middle aged
1591,14588104,adult
1593,14588104,female
1602,12972211,child
1603,12972211,female
1609,11975374,child
1610,11975374,female
1614,11975374,male
1620,12872655,adolescent
1622,12872655,child
1633,12235469,adult
1634,12235469,female
1637,12235469,male
1639,11939756,adult
1641,11939756,female
1651,14639798,adolescent
1656,14639798,child
1658,14639798,"child, preschool"
1659,14639798,female
1663,14639798,male
1674,12876418,adult
1675,12876418,aged
1677,12876418,female
1683,12876418,male
1684,12876418,middle aged
1698,14654340,adolescent
1699,14654340,adult
1702,14654340,child
1704,14654340,female
1710,14654340,male
1719,15806798,female
1728,12953405,female
1731,12953405,male
1733,12199330,child
1734,12199330,female
1739,12199330,male
1749,12773996,female
1752,12773996,middle aged
1758,12895627,male
1759,12895627,middle aged
1763,14717526,adult
1764,14717526,aged
1765,14717526,"aged, 80 and over"
1766,14717526,female
1769,14717526,male
1770,14717526,middle aged
1786,12434111,female
1796,14513882,adolescent
1797,14513882,adult
1798,14513882,child
1801,14513882,female
1807,14513882,male
1812,15524155,adolescent
1813,15524155,adult
1814,15524155,child
1815,15524155,"child, preschool"
1816,15524155,female
1819,15524155,male
1822,12076947,adult
1823,12076947,aged
1824,12076947,"aged, 80 and over"
1825,12076947,female
1829,12076947,male
1830,12076947,middle aged
1850,12926167,adult
1851,12926167,aged
1852,12926167,"aged, 80 and over"
1854,12926167,female
1857,12926167,male
1858,12926167,middle aged
1860,11881292,female
1863,11881292,male
1864,11881292,middle aged
1869,12577605,female
1887,12940694,child
1910,12192547,adult
1911,12192547,aged
1912,12192547,"aged, 80 and over"
1917,12192547,female
1921,12192547,male
1922,12192547,middle aged
1933,11921647,adolescent
1934,11921647,adult
1936,11921647,aged
1937,11921647,child
1939,11921647,female
1944,11921647,male
1945,11921647,middle aged
1954,14768805,child
1955,14768805,female
1960,11834423,female
1966,11834423,male
1973,15027744,adult
1974,15027744,female
1990,12602535,adolescent
1993,12602535,child
1995,12602535,female
1999,12602535,male
2034,12508924,adult
2035,12508924,aged
2038,12508924,female
2043,12508924,male
2048,14521769,child
2055,12397534,adolescent
2056,12397534,adult
2057,12397534,aged
2063,12397534,middle aged
2082,12630081,adult
2083,12630081,aged
2093,12630081,middle aged
2100,12798486,adult
2102,12798486,female
2111,12607674,aged
2113,12607674,female
2118,12607674,middle aged
2124,15179761,male
2125,15179761,middle aged
2129,12698518,female
2133,12698518,middle aged
2138,12185993,adolescent
2139,12185993,adult
2140,12185993,aged
2141,12185993,"aged, 80 and over"
2143,12185993,female
2146,12185993,male
2147,12185993,middle aged
2168,12822378,adolescent
2170,12822378,child
2171,12822378,female
2174,12822378,"infant, newborn"
2176,12822378,male
2179,11989127,adult
2182,11989127,female
2186,11989127,male
2188,11989127,middle aged
2190,14561369,aged
2193,14561369,female
2200,11885374,child
2207,11885374,male
2216,12423440,female
2219,12423440,middle aged
2223,12864792,adult
2224,12864792,aged
2229,12864792,female
2235,12864792,male
2236,12864792,middle aged
2241,11827763,adolescent
2242,11827763,adult
2250,11827763,female
2255,11827763,male
2263,12855011,adolescent
2264,12855011,adult
2266,12855011,aged
2268,12855011,female
2271,12855011,male
2272,12855011,middle aged
2275,12100323,adult
2276,12100323,aged
2277,12100323,"aged, 80 and over"
2278,12100323,female
2281,12100323,male
2282,12100323,middle aged
2288,12213667,adolescent
2290,12213667,adult
2294,12213667,female
2300,12213667,male
2301,12213667,middle aged
2307,12945172,female
2310,12945172,male
2311,12945172,middle aged
2316,14725052,aged
2317,14725052,female
2327,12765001,female
2332,12765001,middle aged
2338,12601300,adult
2339,12601300,aged
2344,12601300,female
2350,12601300,male
2351,12601300,middle aged
2369,12746758,adult
2373,12746758,female
2377,12746758,male
2378,12746758,middle aged
2384,12948296,child
2386,12948296,female
2391,12948296,male
2414,12186643,male
2433,12193307,adolescent
2434,12193307,adult
2435,12193307,aged
2439,12193307,female
2444,12193307,male
2445,12193307,middle aged
2452,12953431,adult
2453,12953431,aged
2454,12953431,female
2458,12953431,male
2459,12953431,middle aged
2464,12713257,child
2465,12713257,female
2469,12713257,male
2476,11929086,adult
2478,11929086,female
2482,11929086,male
2483,11929086,middle aged
2491,14665720,adult
2492,14665720,aged
2494,14665720,female
2499,14665720,male
2500,14665720,middle aged
2535,12371079,adult
2539,12371079,female
2543,12371079,male
2544,12371079,middle aged
2548,12847995,adolescent
2549,12847995,child
2550,12847995,female
2558,12847995,male
2565,12649781,adult
2568,12649781,female
2571,12649781,"infant, newborn"
2581,12901542,adult
2582,12901542,aged
2584,12901542,female
2587,12901542,male
2588,12901542,middle aged
2595,12920352,aged
2597,12920352,female
2603,12920352,male
2604,12920352,middle aged
2628,12687030,adult
2633,12687030,female
2646,11926912,female
2652,11926912,male
2653,11926912,middle aged
2659,12593577,female
2663,12593577,middle aged
2673,12920751,adult
2674,12920751,aged
2681,12920751,female
2684,12920751,male
2685,12920751,middle aged
2691,12028565,adult
2692,12028565,aged
2694,12028565,female
2700,12028565,male
2701,12028565,middle aged
2704,14583303,adult
2705,14583303,aged
2710,14583303,female
2715,14583303,male
2716,14583303,middle aged
2721,11885575,adult
2725,11885575,female
2728,11885575,male
2729,11885575,middle aged
2735,12140870,adolescent
2736,12140870,adult
2737,12140870,aged
2744,12140870,female
2751,12140870,male
2752,12140870,middle aged
2754,12587972,aged
2755,12587972,female
2761,11980162,adolescent
2762,11980162,adult
2765,11980162,female
2769,11980162,male
2771,11921503,adolescent
2772,11921503,adult
2775,11921503,female
2781,11921503,male
2782,11921503,middle aged
2787,12789104,child
2789,12789104,female
2793,12789104,male
2811,12025531,adult
2813,12025531,female
2822,12566734,child
2824,12566734,female
2827,12415508,aged
2830,12415508,female
2836,12566735,adult
2839,12566735,female
2856,12914399,adult
2859,12914399,female
2865,12914399,male
2866,12914399,middle aged
2873,12887286,adolescent
2878,12887286,child
2880,12887286,female
2919,12584656,adolescent
2920,12584656,child
2921,12584656,female
2927,12584656,male
2931,14768174,adolescent
2932,14768174,adult
2933,14768174,aged
2936,14768174,female
2942,14768174,male
2943,14768174,middle aged
2947,11961993,female
2951,11961993,male
2954,12745559,adolescent
2955,12745559,adult
2956,12745559,female
2966,12640473,child
2969,12640473,female
2975,12640473,male
2985,12490071,"infant, newborn"
2996,14665710,female
3001,14665710,male
3006,14669608,female
3009,14669608,"infant, newborn"
3018,14708909,adult
3024,14708909,female
3030,14708909,male
3031,14708909,middle aged
3035,12097203,adult
3036,12097203,aged
3042,12097203,female
3049,12097203,male
3050,12097203,middle aged
3055,12943562,adolescent
3056,12943562,adult
3058,12943562,"child, preschool"
3061,12943562,female
3067,12943562,infant
3069,12943562,male
3070,12943562,middle aged
3077,12139131,child
3079,12139131,female
3084,12139131,male
3103,12613328,aged
3104,12613328,"aged, 80 and over"
