,PMID,Full_author_name,Without_special_character
0,12803008,"day, terry a",day terry a
0,12803008,"chu, angela",chu angela
0,12803008,"hoang, khanh gien",hoang khanh gien
1,12487770,"knudsen, nils",knudsen nils
1,12487770,"laurberg, peter",laurberg peter
1,12487770,"perrild, hans",perrild hans
1,12487770,"bülow, inge",bülow inge
1,12487770,"ovesen, lars",ovesen lars
1,12487770,"jørgensen, torben",jørgensen torben
2,14750279,"garcia e costa, joaquim",garcia e costa joaquim
3,12588812,"hegedüs, laszlo",hegedüs laszlo
3,12588812,"bonnema, steen j",bonnema steen j
3,12588812,"bennedbaek, finn n",bennedbaek finn n
4,12613335,"casadei, riccardo",casadei riccardo
4,12613335,"perenze, barbara",perenze barbara
4,12613335,"calculli, lucia",calculli lucia
4,12613335,"minni, francesco",minni francesco
4,12613335,"conti, andrea",conti andrea
4,12613335,"marrano, domenico",marrano domenico
5,14599114,"karabay, nuri",karabay nuri
5,14599114,"comlekci, abdurrahman",comlekci abdurrahman
5,14599114,"canda, m serefettin",canda m serefettin
5,14599114,"bayraktar, firat",bayraktar firat
5,14599114,"degirmenci, berna",degirmenci berna
6,12508907,"vitti, p",vitti p
6,12508907,"rago, t",rago t
6,12508907,"tonacchera, m",tonacchera m
6,12508907,"pinchera, a",pinchera a
7,12459101,"ríos zambudio, a",ríos zambudio a
7,12459101,"rodríguez gonzález, j m",rodríguez gonzález j m
7,12459101,"balsalobre salmerón, m d",balsalobre salmerón m d
7,12459101,"parrilla paricio, p",parrilla paricio p
8,14577110,"giacomelli, la",giacomelli la
8,14577110,"gagliarducci, e",gagliarducci e
8,14577110,"guerriero, g",guerriero g
8,14577110,"feroci, d",feroci d
8,14577110,"ferri, s",ferri s
8,14577110,"iachetta, r p",iachetta r p
8,14577110,"fabrizio, g",fabrizio g
9,12150346,"papi, g",papi g
9,12150346,"carapazzi, c",carapazzi c
10,12025449,"mendes, henrique",mendes henrique
10,12025449,"zagalo-cardoso, j a",zagalo-cardoso j a
11,14615127,"helling, thomas j",helling thomas j
12,14615126,"van haeften, timon w",van haeften timon w
13,11942003,"sianesi, mario",sianesi mario
13,11942003,"del rio, paolo",del rio paolo
13,11942003,"arcuri, maria francesca",arcuri maria francesca
13,11942003,"soliani, paolo",soliani paolo
13,11942003,"rusca, michele",rusca michele
14,12504972,"castañeda, rutila",castañeda rutila
14,12504972,"lechuga, diana",lechuga diana
14,12504972,"ramos, rosa isela",ramos rosa isela
14,12504972,"magos, clementina",magos clementina
14,12504972,"orozco, maribel",orozco maribel
14,12504972,"martínez, homero",martínez homero
15,12587479,"ignjatović, m",ignjatović m
15,12587479,"stanić, v",stanić v
15,12587479,"cuk, v",cuk v
15,12587479,"kostić, z",kostić z
16,16444160,"lorini, renata",lorini renata
16,16444160,"gastaldi, roberto",gastaldi roberto
16,16444160,"traggiai, cristina",traggiai cristina
16,16444160,"perucchin, paola polo",perucchin paola polo
17,16444159,"glaser, benjamin",glaser benjamin
18,12380491,"pozdniak, a o",pozdniak a o
19,11989300,"schicha, h",schicha h
19,11989300,"dietlein, m",dietlein m
20,12424486,"lisbõa, h r k",lisbõa h r k
20,12424486,"gross, j l",gross j l
21,11863477,"knudsen, nils",knudsen nils
21,11863477,"bülow, inge",bülow inge
21,11863477,"laurberg, peter",laurberg peter
21,11863477,"ovesen, lars",ovesen lars
21,11863477,"perrild, hans",perrild hans
21,11863477,"jørgensen, torben",jørgensen torben
22,12064511,"prades, jean-michel",prades jean-michel
22,12064511,"dumollard, jean-marc",dumollard jean-marc
22,12064511,"timoshenko, andrei",timoshenko andrei
22,12064511,"chelikh, larbi",chelikh larbi
22,12064511,"michel, frederic",michel frederic
22,12064511,"estour, bruno",estour bruno
22,12064511,"martin, christian",martin christian
23,12213883,"mezosi, emese",mezosi emese
23,12213883,"yamazaki, hiroko",yamazaki hiroko
23,12213883,"bretz, james d",bretz james d
23,12213883,"wang, su he",wang su he
23,12213883,"arscott, patricia l",arscott patricia l
23,12213883,"utsugi, saho",utsugi saho
23,12213883,"gauger, paul g",gauger paul g
23,12213883,"thompson, norman w",thompson norman w
23,12213883,"baker, james r jr",baker james r jr
24,15513011,"mizen, t r",mizen t r
25,12132533,"nagai, yukihiro",nagai yukihiro
25,12132533,"sugimoto, naoki",sugimoto naoki
25,12132533,"nagasato, atsushi",nagasato atsushi
25,12132533,"hashizume, yasuo",hashizume yasuo
25,12132533,"abe, toshio",abe toshio
25,12132533,"nomura, gakuji",nomura gakuji
26,12638522,"weetman, a p",weetman a p
27,12685194,"karak, asis k",karak asis k
27,12685194,"marwaha, raman k",marwaha raman k
27,12685194,"tandon, nikhil",tandon nikhil
27,12685194,"gupta, nandita",gupta nandita
27,12685194,"kochupillai, narayana",kochupillai narayana
27,12685194,"verma, kusum",verma kusum
28,12005006,"fisher, joseph n",fisher joseph n
29,12398572,"frassetto, florence",frassetto florence
29,12398572,"tourneur martel, florence",tourneur martel florence
29,12398572,"barjhoux, claude-elisabeth",barjhoux claude-elisabeth
29,12398572,"villier, céline",villier céline
29,12398572,"bot, brigitte le",bot brigitte le
29,12398572,"vincent, françoise",vincent françoise
30,12481947,"heinisch, martin",heinisch martin
30,12481947,"kumnig, gerhild",kumnig gerhild
30,12481947,"asböck, doris",asböck doris
30,12481947,"mikosch, peter",mikosch peter
30,12481947,"gallowitsch, hans-júrgen",gallowitsch hans-júrgen
30,12481947,"kresnik, ewald",kresnik ewald
30,12481947,"gomez, iris",gomez iris
30,12481947,"unterweger, oliver",unterweger oliver
30,12481947,"lind, peter",lind peter
31,14595241,"daali, m",daali m
31,14595241,"tajedine, t",tajedine t
32,12463103,"azizi, fereidoun",azizi fereidoun
32,12463103,"navai, lida",navai lida
32,12463103,"fattahi, farid",fattahi farid
33,12600858,"zimmermann, michael b",zimmermann michael b
33,12600858,"hess, sonja y",hess sonja y
33,12600858,"adou, pierre",adou pierre
33,12600858,"toresanni, toni",toresanni toni
33,12600858,"wegmüller, rita",wegmüller rita
33,12600858,"hurrell, richard f",hurrell richard f
34,11989103,"villar, a",villar a
34,11989103,"zurro, j",zurro j
34,11989103,"de luis, d a",de luis d a
34,11989103,"cuéllar, l",cuéllar l
34,11989103,"terroba, c",terroba c
34,11989103,"romero, e",romero e
35,12487773,"lind, p",lind p
35,12487773,"kumnig, g",kumnig g
35,12487773,"heinisch, m",heinisch m
35,12487773,"igerc, i",igerc i
35,12487773,"mikosch, p",mikosch p
35,12487773,"gallowitsch, h j",gallowitsch h j
35,12487773,"kresnik, e",kresnik e
35,12487773,"gomez, i",gomez i
35,12487773,"unterweger, o",unterweger o
35,12487773,"aigner, h",aigner h
36,14523350,"karasek, michal",karasek michal
36,14523350,"lewinski, andrzej",lewinski andrzej
37,14624790,"leonardis, m",leonardis m
37,14624790,"sperb, d",sperb d
37,14624790,"alster, c",alster c
37,14624790,"campisi, c",campisi c
37,14624790,"herter, n t",herter n t
38,12754043,"margaritora, stefano",margaritora stefano
38,12754043,"cesario, alfredo",cesario alfredo
38,12754043,"porziella, venanzio",porziella venanzio
38,12754043,"granone, pierluigi",granone pierluigi
39,12853515,"torchio, roberto",torchio roberto
39,12853515,"gulotta, carlo",gulotta carlo
39,12853515,"perboni, alberto",perboni alberto
39,12853515,"ciacco, claudio",ciacco claudio
39,12853515,"guglielmo, marco",guglielmo marco
39,12853515,"orlandi, fabio",orlandi fabio
39,12853515,"milic-emili, joseph",milic-emili joseph
40,14564411,"neumann, susanne",neumann susanne
40,14564411,"bayer, yvonne",bayer yvonne
40,14564411,"reske, andreas",reske andreas
40,14564411,"tajtáková, mária",tajtáková mária
40,14564411,"langer, pavel",langer pavel
40,14564411,"paschke, ralf",paschke ralf
41,12878569,"darwish, bassam k",darwish bassam k
41,12878569,"kabbani, sami s",kabbani sami s
42,11796476,"polatli, mehmet",polatli mehmet
43,15524155,"mendes, henrique",mendes henrique
43,15524155,"zagalo-cardoso, j a",zagalo-cardoso j a
44,14759072,"busnardo, b",busnardo b
44,14759072,"nacamulli, d",nacamulli d
44,14759072,"frigato, f",frigato f
44,14759072,"vianello-dri, a",vianello-dri a
44,14759072,"de vido, d",de vido d
44,14759072,"mian, c",mian c
44,14759072,"candiani, f",candiani f
44,14759072,"tomasella, g",tomasella g
44,14759072,"zambonin, l",zambonin l
44,14759072,"piccolo, m",piccolo m
44,14759072,"girelli, m e",girelli m e
45,12899791,"hu, feng-nan",hu feng-nan
45,12899791,"jin, ying",jin ying
45,12899791,"teng, wei-ping",teng wei-ping
45,12899791,"yang, fan",yang fan
45,12899791,"teng, xiao-chun",teng xiao-chun
45,12899791,"gao, tian-shu",gao tian-shu
45,12899791,"wang, wei-bo",wang wei-bo
45,12899791,"shi, xiao-guang",shi xiao-guang
45,12899791,"tao, chun-mei",tao chun-mei
46,12516234,"cichoń, stanisław",cichoń stanisław
46,12516234,"anielski, ryszard",anielski ryszard
46,12516234,"orlicki, paweł",orlicki paweł
46,12516234,"krzesiwo-stempak, katarzyna",krzesiwo-stempak katarzyna
47,11936463,"erdoğan, g",erdoğan g
47,11936463,"erdogan, m f",erdogan m f
47,11936463,"emral, r",emral r
47,11936463,"baştemir, m",baştemir m
47,11936463,"sav, h",sav h
47,11936463,"haznedaroğlu, d",haznedaroğlu d
47,11936463,"ustündağ, m",ustündağ m
47,11936463,"köse, r",köse r
47,11936463,"kamel, n",kamel n
47,11936463,"genç, y",genç y
48,12822643,"gamblin, t clark",gamblin t clark
48,12822643,"jennings, g russell",jennings g russell
48,12822643,"christie, dudley b 3rd",christie dudley b 3rd
48,12822643,"thompson, william m jr",thompson william m jr
48,12822643,"dalton, martin l",dalton martin l
49,12034056,"bonnema, steen j",bonnema steen j
49,12034056,"knudsen, dorthe u",knudsen dorthe u
49,12034056,"bertelsen, henrik",bertelsen henrik
49,12034056,"mortensen, jesper",mortensen jesper
49,12034056,"andersen, peter b",andersen peter b
49,12034056,"bastholt, lars",bastholt lars
49,12034056,"hegedüs, laszlo",hegedüs laszlo
50,14626634,"duzgün, n",duzgün n
50,14626634,"morris, y",morris y
50,14626634,"yildiz, h i",yildiz h i
50,14626634,"oztürk, s",oztürk s
50,14626634,"ayva, s k",ayva s k
50,14626634,"ensari, a",ensari a
50,14626634,"erekul, s",erekul s
50,14626634,"kuzu, i",kuzu i
50,14626634,"erdogan, n",erdogan n
50,14626634,"duman, m",duman m
51,12544137,"drivas, ilias",drivas ilias
51,12544137,"mansberg, roobert",mansberg roobert
51,12544137,"roberts, john m",roberts john m
51,12544137,"kean, anne maree",kean anne maree
52,14519572,"yildiz, mustafa",yildiz mustafa
52,14519572,"bozkurt, mehmet k",bozkurt mehmet k
53,11916611,"bartalena, luigi",bartalena luigi
53,11916611,"marcocci, claudio",marcocci claudio
53,11916611,"pinchera, aldo",pinchera aldo
54,12615754,"ginsberg, jody",ginsberg jody
55,12024947,"singh, p n",singh p n
55,12024947,"ahmad, j",ahmad j
56,12008694,"martínez-salgado, homero",martínez-salgado homero
56,12008694,"castañeda-limones, rutila",castañeda-limones rutila
56,12008694,"lechuga-martín del campo, diana",lechuga-martín del campo diana
56,12008694,"ramos-hernández, rosa isela",ramos-hernández rosa isela
56,12008694,"orozco-lópez, maribel",orozco-lópez maribel
56,12008694,"rivera-dommarco, juan",rivera-dommarco juan
56,12008694,"mendoza, iván",mendoza iván
56,12008694,"magos, clementina",magos clementina
57,12463104,"azizi, fereidoun",azizi fereidoun
57,12463104,"mirmiran, parvin",mirmiran parvin
57,12463104,"sheikholeslam, robabeh",sheikholeslam robabeh
57,12463104,"hedayati, mehdi",hedayati mehdi
57,12463104,"rastmanesh, reza",rastmanesh reza
58,12095600,"thomusch, oliver",thomusch oliver
58,12095600,"sekulla, carsten",sekulla carsten
58,12095600,"walls, gerard",walls gerard
58,12095600,"machens, andreas",machens andreas
58,12095600,"dralle, henning",dralle henning
59,12804110,"nobre, ema lacerda",nobre ema lacerda
59,12804110,"aragüés, josé maria",aragüés josé maria
59,12804110,"galvão-telles, alberto",galvão-telles alberto
60,12729472,"matsuo, sílvia e",matsuo sílvia e
60,12729472,"ebina, kátia n",ebina kátia n
60,12729472,"kulcsar, marco a v",kulcsar marco a v
60,12729472,"friguglietti, celso u m",friguglietti celso u m
60,12729472,"kimura, edna t",kimura edna t
61,11961991,"prakash, parameshwara k",prakash parameshwara k
61,11961991,"hanna, fahmy w f",hanna fahmy w f
62,14510789,"asman, peter",asman peter
63,12841824,"streetman, darcie d",streetman darcie d
63,12841824,"khanderia, ujjaini",khanderia ujjaini
64,12240909,"barbaro, d",barbaro d
64,12240909,"lapi, p",lapi p
64,12240909,"orsini, p",orsini p
64,12240909,"pasquini, c",pasquini c
64,12240909,"piazza, f",piazza f
65,12240895,"vitti, p",vitti p
65,12240895,"rago, t",rago t
66,12227399,"lin, chih ching",lin chih ching
66,12227399,"yang, wu chang",yang wu chang
66,12227399,"ng, yee yung",ng yee yung
66,12227399,"chou, yi hong",chou yi hong
66,12227399,"tarng, der cherng",tarng der cherng
66,12227399,"chen, tzen wen",chen tzen wen
67,12487767,"wiersinga, wilmar m",wiersinga wilmar m
67,12487767,"bartalena, luigi",bartalena luigi
68,12973869,"fung, shirley",fung shirley
68,12973869,"malhotra, raman",malhotra raman
68,12973869,"selva, dinesh",selva dinesh
69,12762634,"gołkowski, f",gołkowski f
69,12762634,"huszno, b",huszno b
69,12762634,"trofimiuk, m",trofimiuk m
69,12762634,"sowinski, j",sowinski j
69,12762634,"bandurska-stankiewicz, e",bandurska-stankiewicz e
69,12762634,"dorant, b",dorant b
69,12762634,"szybinski, z",szybinski z
70,12530620,"felner, e i",felner e i
71,12006721,"chao, chen-shun",chao chen-shun
71,12006721,"lin, shih-yi",lin shih-yi
71,12006721,"sheu, wayne huey-herng",sheu wayne huey-herng
72,12660649,"van heerden, jon a",van heerden jon a
73,12174459,"wierzbowska, joanna",wierzbowska joanna
73,12174459,"stankiewicz, andrzej",stankiewicz andrzej
74,12490836,"kang, ajaipal s",kang ajaipal s
74,12490836,"grant, clive s",grant clive s
74,12490836,"thompson, geoffrey b",thompson geoffrey b
74,12490836,"van heerden, jon a",van heerden jon a
75,12803064,"yassur, iftach",yassur iftach
75,12803064,"ben simon, guy j",ben simon guy j
75,12803064,"rosen, nachum",rosen nachum
76,11891400,"leuchter, igor",leuchter igor
76,11891400,"becker, minerva",becker minerva
76,11891400,"mickel, robert",mickel robert
76,11891400,"dulguerov, pavel",dulguerov pavel
77,12690684,"adegboye, v o",adegboye v o
77,12690684,"ogunseinde, o a",ogunseinde o a
77,12690684,"obajimi, m o",obajimi m o
77,12690684,"ladipo, j k",ladipo j k
77,12690684,"brimmo, a i",brimmo a i
78,17016950,"maberly, glen f",maberly glen f
78,17016950,"haxton, david p",haxton david p
78,17016950,"van der haar, frits",van der haar frits
79,12679417,"monaco, fabrizio",monaco fabrizio
80,14602763,"brenta, g",brenta g
80,14602763,"schnitman, m",schnitman m
80,14602763,"fretes, o",fretes o
80,14602763,"facco, e",facco e
80,14602763,"gurfinkel, m",gurfinkel m
80,14602763,"damilano, s",damilano s
80,14602763,"pacenza, n",pacenza n
80,14602763,"blanco, a",blanco a
80,14602763,"gonzalez, e",gonzalez e
80,14602763,"pisarev, m a",pisarev m a
81,12094148,"tsatsoulis, a",tsatsoulis a
82,11933818,"denniston, alastair",denniston alastair
82,11933818,"dodson, paul",dodson paul
82,11933818,"reuser, tristan",reuser tristan
83,12955839,"madnani, dilip",madnani dilip
83,12955839,"myssiorek, david",myssiorek david
84,11835230,"diav-citrin, orna",diav-citrin orna
84,11835230,"ornoy, asher",ornoy asher
85,12053283,"rohrer, t",rohrer t
85,12053283,"gassmann, k",gassmann k
85,12053283,"pohlenz, j",pohlenz j
85,12053283,"dörr, h g",dörr h g
86,12118320,"hoang-vu, cuong",hoang-vu cuong
86,12118320,"boltze, carsten",boltze carsten
86,12118320,"gimm, oliver",gimm oliver
86,12118320,"poremba, christopher",poremba christopher
86,12118320,"dockhorn-dworniczak, barbara",dockhorn-dworniczak barbara
86,12118320,"köhrle, josef",köhrle josef
86,12118320,"rath, friedrich-wilhelm",rath friedrich-wilhelm
86,12118320,"dralle, henning",dralle henning
87,12584893,"caparević, zorica",caparević zorica
87,12584893,"diligenski, vladimir",diligenski vladimir
87,12584893,"stojanović, dragos",stojanović dragos
87,12584893,"bojković, gradimir",bojković gradimir
88,12192543,"bettendorf, markus",bettendorf markus
89,12804111,"o'brien, kevin e",o'brien kevin e
89,12804111,"gopal, vikram",gopal vikram
89,12804111,"mazzaferri, ernest",mazzaferri ernest
90,12618333,"stolf, beatriz s",stolf beatriz s
90,12618333,"carvalho, alex f",carvalho alex f
90,12618333,"martins, waleska k",martins waleska k
90,12618333,"runza, franco b",runza franco b
90,12618333,"brun, marcel",brun marcel
90,12618333,"hirata, roberto jr",hirata roberto jr
90,12618333,"jordão neves, eduardo",jordão neves eduardo
90,12618333,"soares, fernando a",soares fernando a
90,12618333,"postigo-dias, juan",postigo-dias juan
90,12618333,"kowalski, luis p",kowalski luis p
90,12618333,"reis, luiz f l",reis luiz f l
91,12957093,"jiang, jung-rern",jiang jung-rern
91,12957093,"wang, hao-chien",wang hao-chien
91,12957093,"chang, yeun-chung",chang yeun-chung
91,12957093,"yang, pan-chyr",yang pan-chyr
92,12173852,"tang, augustine t m",tang augustine t m
92,12173852,"johnson, mark j",johnson mark j
92,12173852,"addis, bruce",addis bruce
92,12173852,"weeden, david f",weeden david f
93,12163229,"wiersinga, wilmar m",wiersinga wilmar m
93,12163229,"prummel, mark f",prummel mark f
94,12707632,"glinoer, d",glinoer d
95,14514161,"delange, f m",delange f m
96,12691928,"prager, gerhard",prager gerhard
96,12691928,"czerny, christian",czerny christian
96,12691928,"ofluoglu, sedan",ofluoglu sedan
96,12691928,"kurtaran, amir",kurtaran amir
96,12691928,"passler, christian",passler christian
96,12691928,"kaczirek, klaus",kaczirek klaus
96,12691928,"scheuba, christian",scheuba christian
96,12691928,"niederle, bruno",niederle bruno
97,11961503,"papi, g",papi g
97,11961503,"carapezzi, c",carapezzi c
97,11961503,"corsello, s m",corsello s m
98,11838733,"vestergaard, peter",vestergaard peter
98,11838733,"rejnmark, lars",rejnmark lars
98,11838733,"weeke, jørgen",weeke jørgen
98,11838733,"hoeck, hans christian",hoeck hans christian
98,11838733,"nielsen, henning k",nielsen henning k
98,11838733,"rungby, jørgen",rungby jørgen
98,11838733,"laurberg, peter",laurberg peter
98,11838733,"mosekilde, leif",mosekilde leif
99,12112820,"moldavsky, moisey",moldavsky moisey
99,12112820,"szvalb, sergio",szvalb sergio
99,12112820,"stayerman, celina",stayerman celina
100,12762644,"huszno, b",huszno b
100,12762644,"szybiński, z",szybiński z
100,12762644,"przybylik-mazurek, e",przybylik-mazurek e
100,12762644,"stachura, j",stachura j
100,12762644,"trofimiuk, m",trofimiuk m
100,12762644,"buziak-bereza, m",buziak-bereza m
100,12762644,"gołkowski, f",gołkowski f
100,12762644,"pantoflinski, j",pantoflinski j
101,12843153,"nieuwlaat, willy-anne",nieuwlaat willy-anne
101,12843153,"huysmans, dyde a",huysmans dyde a
101,12843153,"van den bosch, harrie c",van den bosch harrie c
101,12843153,"sweep, c g fred",sweep c g fred
101,12843153,"ross, h alec",ross h alec
101,12843153,"corstens, frans h",corstens frans h
101,12843153,"hermus, ad r",hermus ad r
102,12938097,"rivolta, carina m",rivolta carina m
102,12938097,"esperante, sebastián a",esperante sebastián a
102,12938097,"gruñeiro-papendieck, laura",gruñeiro-papendieck laura
102,12938097,"chiesa, ana",chiesa ana
102,12938097,"moya, christian m",moya christian m
102,12938097,"domené, sabina",domené sabina
102,12938097,"varela, viviana",varela viviana
102,12938097,"targovnik, héctor m",targovnik héctor m
103,14588104,"glinoer, daniel",glinoer daniel
103,14588104,"demeester, remy",demeester remy
103,14588104,"lemone, marc",lemone marc
103,14588104,"larsimont, denis",larsimont denis
103,14588104,"andry, guy",andry guy
104,12723261,"de saedeleer, b",de saedeleer b
104,12723261,"poppe, k",poppe k
104,12723261,"lacor, p",lacor p
104,12723261,"de mey, j",de mey j
104,12723261,"vincken, w",vincken w
104,12723261,"bourgain, c",bourgain c
104,12723261,"velkeniers, b",velkeniers b
105,12192540,"delange, françois",delange françois
106,11943633,"de benoist, bruno",de benoist bruno
106,11943633,"delange, françois",delange françois
107,14660812,"but, betty",but betty
107,14660812,"chan, c w",chan c w
107,14660812,"chan, fredriech",chan fredriech
107,14660812,"chan, k w",chan k w
107,14660812,"cheng, anna w f",cheng anna w f
107,14660812,"cheung, patrick",cheung patrick
107,14660812,"choi, k l",choi k l
107,14660812,"chow, c b",chow c b
107,14660812,"chow, francis c c",chow francis c c
107,14660812,"eastman, creswell",eastman creswell
107,14660812,"fok, t f",fok t f
107,14660812,"fung, l m",fung l m
107,14660812,"gomes, cynthia",gomes cynthia
107,14660812,"huen, k f",huen k f
107,14660812,"ip, t p",ip t p
107,14660812,"kung, annie w c",kung annie w c
107,14660812,"lam, karen s l",lam karen s l
107,14660812,"lam, y y",lam y y
107,14660812,"lao, terence",lao terence
107,14660812,"lee, c y",lee c y
107,14660812,"lee, k f",lee k f
107,14660812,"leung, jenny",leung jenny
107,14660812,"leung, n k",leung n k
107,14660812,"li, dominic",li dominic
107,14660812,"li, june",li june
107,14660812,"lo, k w",lo k w
107,14660812,"lo, louis",lo louis
107,14660812,"ng, k l",ng k l
107,14660812,"siu, s c",siu s c
107,14660812,"tam, sidney",tam sidney
107,14660812,"tan, kathryn c b",tan kathryn c b
107,14660812,"tiu, s c",tiu s c
107,14660812,"tse, h y",tse h y
107,14660812,"tse, winnie",tse winnie
107,14660812,"wong, gary",wong gary
107,14660812,"wong, shell",wong shell
107,14660812,"wong, william",wong william
107,14660812,"yeung, vincent t f",yeung vincent t f
107,14660812,"young, rosie",young rosie
107,14660812,"yu, c m",yu c m
107,14660812,"yu, richard",yu richard
108,11879144,"kazim, michael",kazim michael
108,11879144,"goldberg, robert a",goldberg robert a
108,11879144,"smith, terry j",smith terry j
109,12122718,"montagne, s",montagne s
109,12122718,"brunaud, l",brunaud l
109,12122718,"bresler, l",bresler l
109,12122718,"ayav, a",ayav a
109,12122718,"tortuyaux, j m",tortuyaux j m
109,12122718,"boissel, p",boissel p
110,11788632,"bonnema, steen j",bonnema steen j
110,11788632,"bennedbaek, finn n",bennedbaek finn n
110,11788632,"ladenson, paul w",ladenson paul w
110,11788632,"hegedüs, laszlo",hegedüs laszlo
111,12975279,"govindaraj, satish",govindaraj satish
111,12975279,"rezaee, rod",rezaee rod
111,12975279,"pearl, adam",pearl adam
111,12975279,"som, peter m",som peter m
111,12975279,"urken, mark l",urken mark l
112,12227127,"clar, christine",clar christine
112,12227127,"wu, taixiang",wu taixiang
112,12227127,"liu, guanjian",liu guanjian
112,12227127,"li, ping",li ping
113,14611703,"spiezia, stefano",spiezia stefano
113,14611703,"vitale, giovanni",vitale giovanni
113,14611703,"di somma, carolina",di somma carolina
113,14611703,"pio assanti, angelo",pio assanti angelo
113,14611703,"ciccarelli, antonio",ciccarelli antonio
113,14611703,"lombardi, gaetano",lombardi gaetano
113,14611703,"colao, annamaria",colao annamaria
114,12068130,"cho, bo youn",cho bo youn
115,11835123,"saleh, a",saleh a
115,11835123,"cohnen, m",cohnen m
115,11835123,"fürst, g",fürst g
115,11835123,"godehardt, e",godehardt e
115,11835123,"mödder, u",mödder u
115,11835123,"feldkamp, j",feldkamp j
116,12666822,"aydin, kursad",aydin kursad
116,12666822,"bideci, aysun",bideci aysun
116,12666822,"kendirci, mustafa",kendirci mustafa
116,12666822,"cinaz, peyami",cinaz peyami
116,12666822,"kurtoglu, selim",kurtoglu selim
117,12218817,"karabulut, nevzat",karabulut nevzat
117,12218817,"martin, diego r",martin diego r
117,12218817,"yang, ming",yang ming
117,12218817,"boyd, brita k",boyd brita k
118,14636743,"hughes, s c a",hughes s c a
118,14636743,"david, l a",david l a
118,14636743,"turner, r",turner r
119,12874154,"webster, jennifer",webster jennifer
119,12874154,"taback, shayne p",taback shayne p
119,12874154,"sellers, elizabeth a c",sellers elizabeth a c
119,12874154,"dean, heather j",dean heather j
120,14520113,"friguglietti, celso u m",friguglietti celso u m
120,14520113,"lin, chin s",lin chin s
120,14520113,"kulcsar, marco a v",kulcsar marco a v
121,12225636,"yaturu, subhashini",yaturu subhashini
121,12225636,"mcdonald, john",mcdonald john
122,12602545,"valentino, r",valentino r
123,12088916,"antonangeli, lucia",antonangeli lucia
123,12088916,"maccherini, doretta",maccherini doretta
123,12088916,"cavaliere, rossana",cavaliere rossana
123,12088916,"di giulio, claudia",di giulio claudia
123,12088916,"reinhardt, barbara",reinhardt barbara
123,12088916,"pinchera, aldo",pinchera aldo
123,12088916,"aghini-lombardi, fabrizio",aghini-lombardi fabrizio
124,12082704,"larsen, øivind",larsen øivind
125,14727345,"shaukat, shahzad",shaukat shahzad
125,14727345,"fatima, zareen",fatima zareen
125,14727345,"zehra, uruj",zehra uruj
125,14727345,"waqar, ahmed bilal",waqar ahmed bilal
126,12112546,"ishinaga, hajime",ishinaga hajime
126,12112546,"shimizu, takeshi",shimizu takeshi
126,12112546,"yuta, atsushi",yuta atsushi
126,12112546,"tsukamoto, koji",tsukamoto koji
126,12112546,"usami, shin-ichi",usami shin-ichi
126,12112546,"majima, yuichi",majima yuichi
127,14666764,"li, xue-mei",li xue-mei
127,14666764,"cao, yong-fen",cao yong-fen
127,14666764,"yang, juan",yang juan
128,12232474,"hanamitsu, masakazu",hanamitsu masakazu
128,12232474,"takeuchi, eiji",takeuchi eiji
128,12232474,"kitanishi, tsuyoshi",kitanishi tsuyoshi
128,12232474,"sakurai, hironori",sakurai hironori
128,12232474,"tanaka, hiroshi",tanaka hiroshi
128,12232474,"kitano, hiroya",kitano hiroya
129,12487766,"orgiazzi, jacques",orgiazzi jacques
129,12487766,"madec, anne-marie",madec anne-marie
130,14645617,"bondeson, lennart",bondeson lennart
130,14645617,"bondeson, anne-greth",bondeson anne-greth
131,12446919,"erkiliç, suna",erkiliç suna
131,12446919,"aydin, abdullah",aydin abdullah
131,12446919,"koçer, n emrah",koçer n emrah
132,11936475,"martino, enio",martino enio
133,12973493,"al-akeely, mohammed h",al-akeely mohammed h
134,12184022,"cichoń, wojciech",cichoń wojciech
134,12184022,"frey, janusz",frey janusz
134,12184022,"jamski, jerzy",jamski jerzy
134,12184022,"cichoń, stanisław",cichoń stanisław
135,12879780,"bolko, paweł",bolko paweł
135,12879780,"jaskuła, magdalena",jaskuła magdalena
135,12879780,"waśko, ryszard",waśko ryszard
135,12879780,"bednarek, janusz",bednarek janusz
135,12879780,"sowiński, jerzy",sowiński jerzy
136,12195240,"lewinski, andrzej",lewinski andrzej
137,14762489,"lima, marcus a",lima marcus a
137,14762489,"tiveron, fabiana s",tiveron fabiana s
137,14762489,"santos, vitorino m",santos vitorino m
137,14762489,"lima, lilian m b",lima lilian m b
137,14762489,"silva, gilberto p",silva gilberto p
137,14762489,"borges, maria f",borges maria f
138,14673283,"scheinfeld, noah s",scheinfeld noah s
138,14673283,"worth, richard",worth richard
138,14673283,"mallea, jorje",mallea jorje
138,14673283,"shookster, linda",shookster linda
138,14673283,"weinberg, jeffrey m",weinberg jeffrey m
139,12088914,"bonnema, s j",bonnema s j
139,12088914,"bartalena, l",bartalena l
139,12088914,"toft, a d",toft a d
139,12088914,"hegedüs, l",hegedüs l
140,11936460,"costante, g",costante g
140,11936460,"grasso, l",grasso l
140,11936460,"schifino, e",schifino e
140,11936460,"marasco, m f",marasco m f
140,11936460,"crocetti, u",crocetti u
140,11936460,"capula, c",capula c
140,11936460,"chiarella, r",chiarella r
140,11936460,"ludovico, o",ludovico o
140,11936460,"nocera, m",nocera m
140,11936460,"parlato, g",parlato g
