,PMID,Condition,Category
1238,11841953,hyperthyroidism,hyperthyroidism
1238,11841953,graves disease,hyperthyroidism
1238,11841953,hypothyroidism,hypothyroidism
1238,11841953,thyroid neoplasms,thyroid neoplasms
1238,11841953,thyroid nodule,thyroid nodule
1238,11841953,thyroiditis,thyroiditis
1238,11841953,thyroidectomy,thyroid disease
1239,12236036,goiter,goiter
1239,12236036,thyroid neoplasms,thyroid neoplasms
1240,12641636,thyroid neoplasms,thyroid neoplasms
1241,12843884,goiter,goiter
1242,11777887,hyperthyroidism,hyperthyroidism
1242,11777887,thyrotoxicosis,hyperthyroidism
1243,12036412,hyperthyroidism,hyperthyroidism
1243,12036412,hypothyroidism,hypothyroidism
1243,12036412,thyroid nodule,thyroid nodule
1245,12911174,goiter,goiter
1246,15227976,goiter,goiter
1246,15227976,thyroiditis,thyroiditis
1246,15227976,thyroid disease,thyroid disease
1246,15227976,thyroid diseases,thyroid disease
1246,15227976,thyroidectomy,thyroid disease
1247,12940446,goiter,goiter
1247,12940446,hyperthyroidism,hyperthyroidism
1247,12940446,thyrotoxicosis,hyperthyroidism
1248,12971227,goiter,goiter
1248,12971227,thyroid neoplasms,thyroid neoplasms
1249,12533525,goiter,goiter
1249,12533525,thyroid disease,thyroid disease
1249,12533525,thyroid diseases,thyroid disease
1249,12533525,thyroid gland,thyroid disease
1250,12927435,hyperthyroidism,hyperthyroidism
1250,12927435,graves' disease,hyperthyroidism
1250,12927435,thyrotoxicosis,hyperthyroidism
1250,12927435,thyroiditis,thyroiditis
1250,12927435,thyroidectomy,thyroid disease
1251,12431043,goiter,goiter
1251,12431043,hypothyroidism,hypothyroidism
1251,12431043,thyroid gland,thyroid disease
1252,12687275,goiter,goiter
1252,12687275,thyroid neoplasms,thyroid neoplasms
1252,12687275,thyroiditis,thyroiditis
1252,12687275,thyroid disease,thyroid disease
1252,12687275,thyroid diseases,thyroid disease
1253,15244202,goiter,goiter
1253,15244202,hyperthyroidism,hyperthyroidism
1253,15244202,graves' disease,hyperthyroidism
1254,14971282,goiter,goiter
1254,14971282,thyroidectomy,thyroid disease
1255,14710798,goiter,goiter
1256,12914728,graves' disease,hyperthyroidism
1257,14761598,goiter,goiter
1257,14761598,thyroid neoplasms,thyroid neoplasms
1258,12675505,goiter,goiter
1258,12675505,hyperthyroidism,hyperthyroidism
1258,12675505,graves' disease,hyperthyroidism
1259,12855016,goiter,goiter
1259,12855016,hypothyroidism,hypothyroidism
1259,12855016,"thyroiditis, autoimmune",thyroiditis
1259,12855016,thyroiditis,thyroiditis
1260,12112852,goiter,goiter
1260,12112852,thyroid neoplasms,thyroid neoplasms
1260,12112852,thyroid nodule,thyroid nodule
1260,12112852,thyroid gland,thyroid disease
1261,14629801,hyperthyroidism,hyperthyroidism
1261,14629801,thyroid disease,thyroid disease
1261,14629801,thyroid diseases,thyroid disease
1261,14629801,thyroid gland,thyroid disease
1262,12221871,goiter,goiter
1262,12221871,thyrotoxicosis,hyperthyroidism
1262,12221871,thyroidectomy,thyroid disease
1265,14760996,goiter,goiter
1265,14760996,thyroid nodule,thyroid nodule
1265,14760996,thyroid gland,thyroid disease
1266,12360381,goiter,goiter
1266,12360381,thyroid neoplasms,thyroid neoplasms
1266,12360381,thyroiditis,thyroiditis
1266,12360381,thyroid disease,thyroid disease
1266,12360381,thyroid diseases,thyroid disease
1266,12360381,thyroidectomy,thyroid disease
1267,12181998,goiter,goiter
1267,12181998,thyroid neoplasms,thyroid neoplasms
1267,12181998,hashimoto disease,thyroiditis
1268,12001695,goiter,goiter
1268,12001695,thyroid neoplasms,thyroid neoplasms
1269,12039696,goiter,goiter
1269,12039696,hyperthyroidism,hyperthyroidism
1269,12039696,graves' disease,hyperthyroidism
1269,12039696,thyrotoxicosis,hyperthyroidism
1269,12039696,hypothyroidism,hypothyroidism
1270,11919333,goiter,goiter
1270,11919333,hypothyroidism,hypothyroidism
1271,12709678,goiter,goiter
1271,12709678,hypothyroidism,hypothyroidism
1271,12709678,"thyroiditis, autoimmune",thyroiditis
1271,12709678,thyroiditis,thyroiditis
1272,14757965,hyperthyroidism,hyperthyroidism
1272,14757965,hypothyroidism,hypothyroidism
1272,14757965,thyroid disease,thyroid disease
1272,14757965,thyroid diseases,thyroid disease
1273,12588307,thyroid neoplasms,thyroid neoplasms
1273,12588307,thyroid gland,thyroid disease
1274,12802474,hyperthyroidism,hyperthyroidism
1274,12802474,graves' disease,hyperthyroidism
1274,12802474,thyroiditis,thyroiditis
1274,12802474,thyroid disease,thyroid disease
1274,12802474,thyroid diseases,thyroid disease
1276,15080051,goiter,goiter
1276,15080051,hyperthyroidism,hyperthyroidism
