,PMID,Condition,Category
1049,12867863,graves ophthalmopathy,hyperthyroidism
1050,12025740,graves disease,hyperthyroidism
1050,12025740,congenital hypothyroidism,hypothyroidism
1050,12025740,hypothyroidism,hypothyroidism
1051,12671107,hyperthyroidism,hyperthyroidism
1051,12671107,graves disease,hyperthyroidism
1051,12671107,graves' disease,hyperthyroidism
1051,12671107,hypothyroidism,hypothyroidism
1051,12671107,thyroid gland,thyroid disease
1052,12593721,graves disease,hyperthyroidism
1052,12593721,graves' disease,hyperthyroidism
1053,12482195,graves disease,hyperthyroidism
1053,12482195,graves' disease,hyperthyroidism
1053,12482195,"thyroiditis, autoimmune",thyroiditis
1053,12482195,thyroiditis,thyroiditis
1053,12482195,thyroid disease,thyroid disease
1054,11936461,graves disease,hyperthyroidism
1054,11936461,graves' disease,hyperthyroidism
1055,14557478,graves disease,hyperthyroidism
1055,14557478,graves' disease,hyperthyroidism
1056,12879724,graves disease,hyperthyroidism
1057,12742842,graves disease,hyperthyroidism
1057,12742842,graves ophthalmopathy,hyperthyroidism
1058,12685872,graves disease,hyperthyroidism
1058,12685872,graves' disease,hyperthyroidism
1058,12685872,"thyroiditis, autoimmune",thyroiditis
1058,12685872,thyroiditis,thyroiditis
1058,12685872,thyroid disease,thyroid disease
1058,12685872,thyroid gland,thyroid disease
1059,12428267,graves disease,hyperthyroidism
1059,12428267,graves' disease,hyperthyroidism
1060,12373862,graves disease,hyperthyroidism
