index,nct_id,category_age
400,NCT04216732,[18-65]
400,NCT04216732,[65 and more]
402,NCT04233398,[18-65]
402,NCT04233398,[65 and more]
409,NCT04239521,[0-17]
409,NCT04239521,[18-65]
409,NCT04239521,[65 and more]
416,NCT04281875,[18-65]
416,NCT04281875,[65 and more]
417,NCT04284774,[0-17]
417,NCT04284774,[18-65]
419,NCT04288115,[18-65]
419,NCT04288115,[65 and more]
420,NCT04288531,[18-65]
422,NCT04298684,[18-65]
422,NCT04298684,[65 and more]
433,NCT04311606,[18-65]
433,NCT04311606,[65 and more]
441,NCT04329455,[18-65]
443,NCT04333342,[18-65]
448,NCT04339205,[0-17]
448,NCT04339205,[18-65]
448,NCT04339205,[65 and more]
453,NCT04359979,[18-65]
453,NCT04359979,[65 and more]
457,NCT04373226,[0-17]
458,NCT04376203,[0-17]
458,NCT04376203,[18-65]
458,NCT04376203,[65 and more]
459,NCT04383795,[18-65]
459,NCT04383795,[65 and more]
463,NCT04396158,[0-17]
463,NCT04396158,[18-65]
468,NCT04396912,[0-17]
468,NCT04396912,[18-65]
468,NCT04396912,[65 and more]
471,NCT04410601,[0-17]
471,NCT04410601,[18-65]
471,NCT04410601,[65 and more]
475,NCT04412694,[18-65]
475,NCT04412694,[65 and more]
479,NCT04424485,[0-17]
479,NCT04424485,[18-65]
479,NCT04424485,[65 and more]
482,NCT04458233,[18-65]
482,NCT04458233,[65 and more]
487,NCT04463316,[18-65]
487,NCT04463316,[65 and more]
489,NCT04463719,[18-65]
489,NCT04463719,[65 and more]
490,NCT04467021,[18-65]
490,NCT04467021,[65 and more]
492,NCT04472026,[18-65]
492,NCT04472026,[65 and more]
494,NCT04477798,[18-65]
494,NCT04477798,[65 and more]
497,NCT04509011,[18-65]
497,NCT04509011,[65 and more]
498,NCT04514484,[18-65]
498,NCT04514484,[65 and more]
503,NCT04522622,[18-65]
503,NCT04522622,[65 and more]
506,NCT04523974,[18-65]
506,NCT04523974,[65 and more]
511,NCT04548284,[18-65]
511,NCT04548284,[65 and more]
520,NCT04560127,[18-65]
520,NCT04560127,[65 and more]
525,NCT04564924,[18-65]
525,NCT04564924,[65 and more]
529,NCT04574947,[18-65]
529,NCT04574947,[65 and more]
532,NCT04577664,[18-65]
532,NCT04577664,[65 and more]
537,NCT04580199,[18-65]
537,NCT04580199,[65 and more]
539,NCT04583735,[18-65]
539,NCT04583735,[65 and more]
545,NCT04598815,[18-65]
545,NCT04598815,[65 and more]
553,NCT04614389,[18-65]
553,NCT04614389,[65 and more]
558,NCT04632524,[18-65]
558,NCT04632524,[65 and more]
560,NCT04639388,[0-17]
562,NCT04639960,[0-17]
562,NCT04639960,[18-65]
566,NCT04647500,[0-17]
566,NCT04647500,[18-65]
567,NCT04662190,[18-65]
567,NCT04662190,[65 and more]
571,NCT04663451,[18-65]
571,NCT04663451,[65 and more]
575,NCT04666103,[18-65]
575,NCT04666103,[65 and more]
578,NCT04671719,[0-17]
578,NCT04671719,[18-65]
578,NCT04671719,[65 and more]
585,NCT04680650,[18-65]
585,NCT04680650,[65 and more]
586,NCT04683575,[18-65]
586,NCT04683575,[65 and more]
594,NCT04704414,[18-65]
